id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
9615,3,-6.79052,112.89426,12.8,66.5°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-15 12:36:00+07,2026-05-15 12:45:42.217449+07,0101000020E6100000BE874B8E3B395C40EF552B137E291BC0
9618,3,-6.77603,112.92351,12.7,67.5°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-15 12:46:00+07,2026-05-15 13:04:26.717608+07,0101000020E6100000DAE1AFC91A3B5C400ADCBA9BA71A1BC0
9623,3,-6.7395716,112.99399,12.8,64°,Underway by Sail,"","",2026-05-15 13:08:00+07,2026-05-15 13:27:19.393424+07,0101000020E610000044A33B889D3F5C409A33EC4152F51AC0
9632,3,-6.72384,113.02571,12.9,64.8°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-15 13:18:00+07,2026-05-15 14:00:26.018286+07,0101000020E6100000884B8E3BA5415C4085251E5036E51AC0
9918,3,-3.63298,116.44615,13.4,12.2°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 11:17:00+07,2026-05-16 11:23:12.492117+07,0101000020E610000011C7BAB88D1C5D40382D78D157100DC0
9921,3,-3.56713,116.45709,13.6,7.6°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 11:36:00+07,2026-05-16 11:39:51.700828+07,0101000020E610000008556AF6401D5D40D3A414747B890CC0
9934,3,-3.36139,116.49744,13.7,11.1°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 12:30:00+07,2026-05-16 12:36:29.232668+07,0101000020E610000039EE940ED61F5D40C0CFB87020E40AC0
9946,3,-3.16028,116.53476,13.9,10.5°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 13:23:00+07,2026-05-16 13:27:31.743279+07,0101000020E610000060CD018239225D40809F71E1404809C0
9948,3,-3.1296167,116.54071,14,10°,Underway by Sail,"","",2026-05-16 13:31:00+07,2026-05-16 13:46:15.056952+07,0101000020E6100000B1A71DFE9A225D40A11FFC7A740909C0
9953,3,-3.0558,116.55482,14,11.4°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 13:50:00+07,2026-05-16 14:04:05.786905+07,0101000020E6100000ACCABE2B82235D4035EF3845477208C0
9973,3,-2.77706,116.60775,14.1,10.4°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 15:03:00+07,2026-05-16 16:19:39.748329+07,0101000020E610000037894160E5265D40F33CB83B6B3706C0
10019,3,-1.70552,116.85121,14.1,24.1°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 19:54:00+07,2026-05-16 19:59:14.402663+07,0101000020E6100000CD0182397A365D4060C8EA56CF49FBBF
10024,3,-1.6447901,116.87484,14,20°,Underway by Sail,"","",2026-05-16 20:11:00+07,2026-05-16 20:16:24.152322+07,0101000020E6100000E44EE960FD375D40998D846C0F51FABF
10030,3,-1.59104,116.89817,14.1,25°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 20:26:00+07,2026-05-16 20:35:09.198751+07,0101000020E6100000E40F069E7B395D40A20BEA5BE674F9BF
10035,3,-1.5219,116.93185,14.3,33.4°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 20:45:00+07,2026-05-16 20:51:54.738673+07,0101000020E6100000C4B12E6EA33B5D40B6847CD0B359F8BF
10041,3,-1.44254,116.99083,14.2,18.5°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 21:10:00+07,2026-05-16 21:13:57.778945+07,0101000020E610000053793BC2693F5D40DBBFB2D2A414F7BF
10046,3,-1.39077,116.96603,13.3,324.5°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 21:26:00+07,2026-05-16 21:28:47.7612+07,0101000020E61000001D3D7E6FD33D5D407120240B9840F6BF
10054,3,-1.34012,116.91652,12.7,306.6°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 21:46:00+07,2026-05-16 21:49:57.871976+07,0101000020E610000051888043A83A5D40C5724BAB2171F5BF
10059,3,-1.32844,116.86088,12.8,270.4°,Sailing,"Balikpapan, Indonesia","ETA: May 16, 22:59",2026-05-16 22:03:00+07,2026-05-16 22:04:45.412703+07,0101000020E6100000F3716DA818375D40FE2B2B4D4A41F5BF
